EquipmentName,MaxLength,CampsiteID
RV,38,102611
Trailer,40,102617
Tent,40,102617
RV,40,102617
Trailer,35,102624
Tent,35,102624
RV,35,102624
Trailer,0,51820
Tent,0,51820
Trailer,45,51765
Tent,45,51765
RV,45,51765
Tent,45,51351
RV,45,51351
Trailer,45,51351
Trailer,40,51302
Tent,40,51302
RV,40,51302
Tent,45,51301
RV,45,51301
Trailer,45,51301
Tent,45,51613
RV,45,51613
Trailer,45,51613
Tent,35,51217
RV,35,51217
Trailer,35,51217
Tent,40,51616
RV,40,51616
Trailer,40,51616
Tent,35,51940
RV,35,51940
Trailer,35,51940
Tent,40,51961
RV,40,51961
Trailer,40,51961
Tent,40,51684
RV,40,51684
Trailer,40,51684
Tent,45,51822
RV,45,51822
Trailer,45,51822
Tent,40,51309
RV,40,51309
Trailer,40,51309
Tent,40,51187
RV,40,51187
Trailer,40,51187
Tent,45,51524
RV,45,51524
Trailer,45,51524
Tent,30,51146
RV,30,51146
Trailer,30,51146
Tent,0,51271
Trailer,0,51271
Trailer,40,51824
Tent,40,51824
RV,40,51824
Trailer,35,51161
Tent,35,51161
RV,35,51161
Tent,45,51935
RV,45,51935
Trailer,45,51935
Tent,45,51924
RV,45,51924
Trailer,45,51924
Tent,35,51980
RV,35,51980
Trailer,35,51980
Trailer,40,51287
Tent,40,51287
RV,40,51287
Tent,40,51793
RV,40,51793
Trailer,40,51793
Trailer,0,51898
Tent,0,51898
Tent,40,51851
RV,40,51851
Trailer,40,51851
Tent,45,51913
RV,45,51913
Trailer,45,51913
Tent,0,51653
Trailer,0,51653
Tent,40,51573
RV,40,51573
Trailer,40,51573
Tent,45,51541
RV,45,51541
Trailer,45,51541
Trailer,40,51978
Tent,40,51978
RV,40,51978
Tent,40,51304
RV,40,51304
Trailer,40,51304
Trailer,35,51272
Tent,35,51272
RV,35,51272
Trailer,45,51335
Tent,45,51335
RV,45,51335
Tent,40,51093
RV,40,51093
Trailer,40,51093
Tent,40,51677
RV,40,51677
Trailer,40,51677
Trailer,45,51446
Tent,45,51446
RV,45,51446
Tent,0,51973
RV,0,51973
Trailer,0,51973
Trailer,45,51576
Tent,45,51576
RV,45,51576
Tent,0,51076
Trailer,0,51076
Trailer,45,51855
Tent,45,51855
RV,45,51855
RV,40,51989
Trailer,40,51989
Tent,40,51989
Trailer,40,51471
Tent,40,51471
RV,40,51471
Trailer,40,51848
Tent,40,51848
RV,40,51848
Trailer,45,51876
Tent,45,51876
RV,45,51876
Tent,45,51107
RV,45,51107
Trailer,45,51107
Tent,45,51046
RV,45,51046
